,Date,Month,Personal Consumption Expenditure (billions of usd),Core CPI (index 1982-1984=100),Unemployment (%),Supply (thousand barrels per day),Imports (thousand barrels per day),Production (thousand barrels per day),Price of Barrel (usd),Staggered Price of Barrel
274,1996-02-16,02-1996,5132.8,164.0,5.5,18863,7504,6511,18.8,21.45
275,1996-02-23,02-1996,5132.8,164.0,5.5,17871,5543,6501,21.45,19.49
276,1996-03-01,03-1996,5173.3,164.4,5.5,17957,6235,6496,19.49,19.72
277,1996-03-08,03-1996,5173.3,164.4,5.5,17610,6986,6461,19.72,20.8
278,1996-03-15,03-1996,5173.3,164.4,5.5,18193,6923,6490,20.8,23.16
279,1996-03-22,03-1996,5173.3,164.4,5.5,18561,6598,6473,23.16,22.03
280,1996-03-29,03-1996,5173.3,164.4,5.5,17705,7396,6440,22.03,22.49
281,1996-04-05,04-1996,5208.0,164.6,5.6,17941,7360,6441,22.49,23.95
282,1996-04-12,04-1996,5208.0,164.6,5.6,17391,7535,6390,23.95,24.34
283,1996-04-19,04-1996,5208.0,164.6,5.6,16895,7231,6425,24.34,23.8
284,1996-04-26,04-1996,5208.0,164.6,5.6,16874,7852,6173,23.8,21.16
285,1996-05-03,05-1996,5223.8,165.0,5.6,17305,7223,6454,21.16,20.98
286,1996-05-10,05-1996,5223.8,165.0,5.6,17910,8578,6065,20.98,21.06
287,1996-05-17,05-1996,5223.8,165.0,5.6,16887,7564,6363,21.06,22.24
288,1996-05-24,05-1996,5223.8,165.0,5.6,18920,6865,6412,22.24,20.37
289,1996-05-31,05-1996,5223.8,165.0,5.6,17646,8116,6392,20.37,20.04
290,1996-06-07,06-1996,5229.8,165.4,5.3,17600,7524,6421,20.04,20.15
291,1996-06-14,06-1996,5229.8,165.4,5.3,17339,8676,6515,20.15,20.95
292,1996-06-21,06-1996,5229.8,165.4,5.3,18556,7587,6452,20.95,20.55
293,1996-06-28,06-1996,5229.8,165.4,5.3,18955,8366,6489,20.55,21.4
294,1996-07-05,07-1996,5251.9,165.7,5.5,17354,7860,6499,21.4,21.65
295,1996-07-12,07-1996,5251.9,165.7,5.5,17687,7601,6499,21.65,21.8
296,1996-07-19,07-1996,5251.9,165.7,5.5,17901,7870,6345,21.8,20.96
